parentSKU,SKU,name,slug,description,class,price,salePrice,taxonomies.productType,featuredImage,thumbnail,images,stockQuantity,totalSales,taxonomies.disc-type,attributes.color,attributes.plastic,attributes.rimColor,netWeight,taxonomies.brand,attributes.fade,attributes.glide,attributes.inboundsId,attributes.speed,attributes.turn
,PHOTON,Photon,mvp-photon,"<strong>Manufacturer's Description: </strong>The Photon is a stable-overstable high speed distance driver.
<div class=""longdescription"">The Photon is best described as a longer <a href=""http://stage.hyzershop.com/product/mvp-tesla/"" target=""_blank"">Tesla</a>, with power throwers able to achieve some flight extending turn, and all throwers getting a reliable fade. The Photon is naturally headwind resistant but average power throwers can use a headwind to emulate those extended flights of high power throwers.</div>",Variable,14.00-17.00,14.00-17.00,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-17361.png,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-17361-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-photon-fission-15441.png|https://hyzershop.com/wp-content/uploads/mvp-photon-proton-17361.png|https://hyzershop.com/wp-content/uploads/mvp-photon-proton-16831.png|https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-17521.png|https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-16761.png|https://hyzershop.com/wp-content/uploads/mvp-photon-fission-16051.png,5,1,Distance Drivers,Light Blue|Light Pink|Neon Yellow|Purple|White,Fission|Neutron|Proton,,154.4g|160.5g|167.6g|168.3g|173.6g|175.2g,MVP Disc Sports,2,4,615744,12,-1
PHOTON,PHOTON_FISSION_1544,"Photon - Color: light-blue, Plastic: fission, Scaled Weight: 154-4g",product-50-variation,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-fission-15441.png,https://hyzershop.com/wp-content/uploads/mvp-photon-fission-15441-150x150.png,,1,,,Light Blue,Fission,,154.4g,MVP Disc Sports,,,,,
PHOTON,PHOTON_FISSION_1605,"Photon - Color: white, Plastic: fission, Scaled Weight: 160-5g",product-50-variation-2,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-fission-16051.png,https://hyzershop.com/wp-content/uploads/mvp-photon-fission-16051-150x150.png,,1,,,White,Fission,,160.5g,MVP Disc Sports,,,,,
PHOTON,PHOTON_PROTON_1683,"Photon - Color: purple, Plastic: proton, Scaled Weight: 168-3g",product-50-variation-3,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-16831.png,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-16831-150x150.png,,1,,,Purple,Proton,,168.3g,MVP Disc Sports,,,,,
PHOTON,PHOTON_PROTON_1736,"Photon - Color: light-pink, Plastic: proton, Scaled Weight: 173-6g",product-50-variation-4,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-17361.png,https://hyzershop.com/wp-content/uploads/mvp-photon-proton-17361-150x150.png,,0,,,Light Pink,Proton,,173.6g,MVP Disc Sports,,,,,
PHOTON,PHOTON_NEUTRON_1676,"Photon - Color: white, Plastic: neutron, Scaled Weight: 167-6g",product-50-variation-5,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-16761.png,https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-16761-150x150.png,,1,,,White,Neutron,,167.6g,MVP Disc Sports,,,,,
PHOTON,PHOTON_NEUTRON_1752,"Photon - Color: neon-yellow, Plastic: neutron, Scaled Weight: 175-2g",product-50-variation-6,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-17521.png,https://hyzershop.com/wp-content/uploads/mvp-photon-neutron-17521-150x150.png,,1,,,Neon Yellow,Neutron,,175.2g,MVP Disc Sports,,,,,
,AXIS,Axis,mvp-axis,"<strong>Manufacturer's Description:
</strong>The Axis is a straight-flying mid-range with a little more distance potential than the <a href=""http://stage.hyzershop.com/product/mvp-tangent/"">Tangent</a>. More power-responive than the Tangent, itÎ¾will hold long extended straight lines.Î¾The Axis will be your mid-range of choice for distant approach shots on and off the tee.",Variable,14.00-17.00,14.00-17.00,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691.png,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17451.png|https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17701.png|https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17461.png|https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17961.png|https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17751.png|https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691.png,5,1,Mid-Ranges,Blue|Light Blue|Neon Green|Pink|Purple|White,Eclipse Proton|Neutron|Proton,Black|White,174.5g|174.6g|176.9g|177.0g|177.5g|179.6g,MVP Disc Sports,1,5,6197022,5,0
AXIS,AXIS_ECLIPSE_1745,"Axis - Color: light-blue, Rim Color: white, Plastic: eclipse-proton, Scaled Weight: 174-5g",product-59-variation,,Variation,17,,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17451.png,https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17451-150x150.png,,1,,,Light Blue,Eclipse Proton,White,174.5g,MVP Disc Sports,,,,,
AXIS,AXIS_ECLIPSE_1746,"Axis - Color: purple, Rim Color: white, Plastic: eclipse-proton, Scaled Weight: 174-6g",product-59-variation-2,,Variation,17,,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17461.png,https://hyzershop.com/wp-content/uploads/mvp-axis-eclipse-17461-150x150.png,,1,,,Purple,Eclipse Proton,White,174.6g,MVP Disc Sports,,,,,
